Title,Link,Competencies
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,['Knowledge of Subject']
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,['Knowledge of Subject']
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,['Knowledge of Subject']
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,['K\nS']
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,['K\nS']
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,['Knowledge of Subject']
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,['K\nS']
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,['Knowledge of Subject']
,,[]
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,['Knowledge of Subject']
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,['K\nS']
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,['S\nK']
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,['Knowledge of Subject']
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,['Knowledge of Subject']
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,['Knowledge of Subject']
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,['Knowledge of Subject']
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,['Knowledge of Subject']
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,['Problem Solving']
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,['Problem Solving']
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,['Problem Solving']
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,['Problem Solving']
,,[]
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,['Problem Solving']
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,['Knowledge of Subject']
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,['Knowledge of Subject']
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,['Knowledge of Subject']
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,['Sales Skills']
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,['Knowledge of Subject']
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,['Knowledge of Subject']
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,['Knowledge of Subject']
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,['A\nK\nS']
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,['Knowledge of Subject']
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,['Knowledge of Subject']
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,['Knowledge of Subject']
,,[]
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,['Problem Solving']
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,['Knowledge of Subject']
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,['Knowledge of Subject']
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,['Knowledge of Subject']
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,['Sales Skills']
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,['Knowledge of Subject']
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,['Knowledge of Subject']
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,['Knowledge of Subject']
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,['A\nK\nS']
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,['Knowledge of Subject']
